,Symbol,Reward
0,A,-53284693.279996105
1,AA,-68057997.74000438
2,AAL,-39327203.36003224
3,AANNF,-396720.2748598494
4,AAON,-70513733.23000216
5,AAP,-38274268.7009978
6,AAPL,-77129322.49000004
7,AAXN,-41429519.19000083
8,AB,-70486765.88000266
9,ABBV,-13894036.183000559
10,ABC,-54870020.68000802
11,ABCB,-58254358.37000078
12,ABCL,-4749907.005043899
13,ABEV,-35977376.700465366
14,ABG,-45262055.16999823
15,ABIT,-5850662.478734527
16,ABM,-61801095.709999226
17,ABMD,-75155320.29999764
18,ABNB,-2547177.979350892
19,ABT,-68890885.15999132
20,ACA,-5664932.777651663
21,ACAD,-40270082.68045828
22,ACC,-31152793.589999992
23,ACCD,-5781299.380295343
24,ACGL,-56977330.72999635
25,ACHC,-67489137.9399888
26,ACI,-2488007.0338332336
27,ACIA,-5011226.240000008
28,ACIW,-63159473.219997175
29,ACLLF,-2053073.827292622
30,ACM,-31969845.18999946
31,ACN,-42990273.560002446
32,ACT,-1354300.759865182
33,ADBE,-77557831.99000718
34,ADC,-55420956.71000179
35,ADI,-73564117.88999087
36,ADM,-71584683.94998936
37,ADP,-66831166.41000608
38,ADPT,-6961333.597256032
39,ADS,-35985574.6299983
40,ADSK,-78007515.64999786
41,ADSW,-1918455.8799999983
42,ADT,-7740696.3441435825
43,AEE,-45248382.760137975
44,AEIS,-65043236.95999868
45,AEL,-37430980.630000524
46,AEM,-77918764.90000293
47,AEO,-68763718.47999632
48,AEP,-63261003.65000519
49,AES,-70871497.78999513
50,AEXAY,-6773452.51066707
51,AFC,-23936446.649999976
52,AFFS,-1340135.5918782
53,AFG,-67414175.97999452
54,AFL,-69374340.52999777
55,AFRM,-4109031.307963706
56,AFYA,-6794318.191615881
57,AG,-36904702.36009779
58,AGCO,-68749404.9000039
59,AGI,-26165026.490014642
60,AGIO,-19439742.619759243
61,AGL,-3896199.7641525106
62,AGNC,-22521039.510703124
63,AGNCM,-2845144.1884382674
64,AGNCN,-1535218.5600000015
65,AGO,-39156345.40000195
66,AGR,-7308166.071132821
67,AHCO,-6750758.326509595
68,AIG,-54990956.919997044
69,AILIH,22335.11000000896
70,AILLO,421542.160000005
71,AIMC,-30225225.980000317
72,AIT,-64193955.30000163
73,AIV,-54179065.46034838
74,AIZ,-34622367.83999822
75,AJG,-60956880.3900009
76,AJRD,-72539838.72999674
77,AKAM,-57284158.17999546
78,AL,-18516017.909715485
79,ALB,-60744892.80000474
80,ALC,-2603024.6882095328
81,ALE,-61911557.82000356
82,ALGM,-2865775.332248014
83,ALGN,-52539615.12000392
84,ALGT,-33002583.330718156
85,ALHC,-3764662.3268538197
86,ALIT,-3617505.1938437796
87,ALITF,1298710.2599999355
88,ALK,-72468891.06999837
89,ALKS,-77598814.25000075
90,ALL,-61225662.510009654
91,ALLE,-10719435.78921993
92,ALLK,-8654273.890159959
93,ALLO,-8025336.69086302
94,ALLY,-13710735.155059345
95,ALMFF,7269592.454932546
96,ALNPY,-5408856.727177625
97,ALNY,-39947554.51999792
98,ALRM,-12795942.163196737
99,ALSN,-16542239.031882552
100,ALTR,-7071958.933262633
101,ALV,-49295487.19000307
102,ALXN,-56352038.68999618
103,AM,-10474010.050914079
104,AMAT,-76735546.99000512
105,AMD,-77597883.68999876
106,AME,-68058972.32999338
107,AMED,-64293135.289994694
108,AMG,-51568973.34000608
109,AMGN,-71544323.85000251
110,AMH,-10760611.038398067
111,AMKR,-59212631.51999427
112,AMLYY,-2513336.3300000043
113,AMN,-45298132.68999824
114,AMP,-34040418.73999981
115,AMR,-2966493.8985216985
116,AMRC,-25825336.130170085
117,AMT,-56245292.490008295
118,AMWL,-4321394.492814918
119,AMX,-44097443.529960975
120,AMZN,-60189207.9399917
121,AN,-78117455.71001118
122,ANET,-12504879.907013565
123,ANGI,-23738261.159812167
124,ANSLY,-3881916.614760108
125,ANSS,-61431179.309999935
126,AOS,-64777554.14999353
127,APA,-71600282.38999878
128,APAJF,-12512741.768991899
129,APAM,-16027531.870764181
130,APD,-65427312.06999582
131,APELY,-88312.53639130008
132,APEMY,-5229893.309559
133,APG,-3186573.9130583396
134,APH,-67519073.21999179
135,API,-5788516.800123118
136,APLS,-10429117.370606048
137,APNHY,6016087.494987245
138,APO,-21243623.800000064
139,APP,-3511513.3810134977
140,APPF,-12285772.630000029
141,APPN,-10559122.16439813
142,APPS,-37000209.64001537
143,APYRF,-4051832.75342366
144,AQN,-11392754.408843817
145,AQUA,-7177060.939999992
146,ARCC,-38168803.129691005
147,ARCE,-5900780.37999999
148,ARE,-43196566.719999775
149,ARES,-13278907.53827392
150,ARGX,-6913971.009716713
151,ARLUF,6221608.378296626
152,ARMK,-11440385.673521062
153,ARNA,-46228031.55999985
154,ARNC,-2189847.119999999
155,ARRY,-49775076.92999474
156,ARW,-72165242.94000106
157,ARWR,-32798296.85000055
158,ASAN,-4542220.6152544115
159,ASB,-69965696.56000023
160,ASCCY,-3954333.948009065
161,ASGLY,-14163633.763792865
162,ASGN,-69967636.37999526
163,ASH,-70082074.38000943
164,ASMVY,-7333409.5059703505
165,ASND,-14459292.700000117
166,ASX,-47456632.149903856
167,ATCO,-32871023.580000058
168,ATH,-4091160.990000003
169,ATHM,-17927284.589174867
170,ATO,-64636926.43999822
171,ATR,-57172392.33999473
172,ATRRF,-195288.2500000005
173,ATUS,-8899305.895571034
174,ATVI,-67528998.80999197
175,AU,-51568402.53000079
176,AUB,-57431936.07000573
177,AUR,-3772631.9245630116
178,AUY,-41014337.350000285
179,AVA,-63082407.529833704
180,AVASF,595024.3699999999
181,AVB,-49347601.27000323
182,AVGO,-22441641.360311773
183,AVIFY,-47578403.32991902
184,AVLR,-3775733.689999997
185,AVNT,-54071763.01999956
186,AVT,-70734994.93000236
187,AVTR,-5126648.902418213
188,AVY,-68001257.83000976
189,AWI,-34115853.899999976
190,AWK,-23741570.31262332
191,AWR,-70047625.22999837
192,AWTRF,1168404.6399999247
193,AXON,-49031610.180002205
194,AXP,-71716789.89000276
195,AXS,-35713702.96946471
196,AXSM,-15034923.589999972
197,AXTA,-10823453.159753794
198,AY,-14523587.36218381
199,AYI,-42798121.46000094
200,AYX,-8820285.950000016
201,AZEK,-3462239.8594532777
202,AZO,-64294913.61999083
203,AZPN,-65496203.84000047
204,AZTA,-67046053.119992726
205,BA,-69871963.53999075
206,BABA,-11248935.768130787
207,BAC,-71492067.73000453
208,BAH,-18661787.278614584
209,BALL,-69217697.85000648
210,BAM,-61628808.609998904
211,BAND,-8077375.163193888
212,BAP,-52315626.470004044
213,BAX,-68786912.9206096
214,BB,-56875750.84998752
215,BBBY,-66868655.68999959
216,BBD,-42019911.05993001
217,BBIO,-7443182.177629612
218,BBSEY,-15555296.602872882
219,BBU,-8744408.27349101
220,BBWI,-76413740.93000636
221,BBY,-75102250.56999823
222,BC,-73870098.25000535
223,BCE,-63356990.50150578
224,BCH,-33650972.61066867
225,BCO,-56917093.93999638
226,BCPC,-64744754.510004416
227,BDOUY,-10604447.430900233
228,BDX,-64932796.84999287
229,BE,-9394089.888750993
230,BEAM,-6207741.999144013
231,BECN,-40039005.37000106
232,BEKE,-5110772.770793928
233,BEN,-69256633.99008453
234,BEP,-22667425.522597875
235,BEPC,-2644487.863829627
236,BEPTF,-14607069.261711866
237,BERY,-15379563.069604658
238,BFAM,-12417846.741205037
239,BG,-42312739.21000329
240,BGNE,-10871593.533947684
241,BHC,-64466312.18004764
242,BHF,-6247385.695095787
243,BHFAP,-3361266.9485710985
244,BHVN,-10581497.64364288
245,BIDU,-33782520.64068778
246,BIGC,-4863502.920029623
247,BIIB,-75912660.30000626
248,BILI,-8389001.355737347
249,BILL,-5216756.682423391
250,BIO,-64934815.790008925
251,BIP,-27382937.5198098
252,BIPC,-2944993.6775820344
253,BJ,-5386504.277066014
254,BK,-71302818.1700013
255,BKH,-63558490.38000657
256,BKI,-8555276.369999977
257,BKNG,-55278000.250006594
258,BKR,-73234020.60999848
259,BKU,-18998614.560483538
260,BL,-9181414.89398484
261,BLCO,-942217.9763024847
262,BLD,-10057205.670000123
263,BLDP,-62971241.19000108
264,BLDR,-39888865.44999961
265,BLI,-3112995.650000003
266,BLK,-42341453.930000715
267,BLKB,-35984584.370000646
268,BLL,-63912263.04000123
269,BLSFF,29401523.54954195
270,BLUE,-19162265.959907033
271,BMBL,-3396835.572023307
272,BMCH,-8992495.900000006
273,BMI,-60695932.05000583
